SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,5,3210367,ZZROOFERS INC/PENNINGTON AVE,3210367,,185933,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SH,6,3066158,ZZMID ATLANTIC FOAM FREDERICKSBURG,3066158,,153978,
1004852,ZZA B C SPLY 412 BALTIMORE,87728,412,1210,0,70,SP,0,1004852,ZZA B C SPLY 412 BALTIMORE,,,87728,412
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,20,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,20,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,20,SH,0,1004912,A B C SPLY 458 SCHENECTADY,,,87738,458
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,20,SP,0,1004912,A B C SPLY 458 SCHENECTADY,,,87738,458
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,SH,0,3501390,J/NYS JUNIUS PONDS TRAVEL PLAZA/ AB,,,137908,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,SH,1,3058344,ZZQUALITY ROOFING SPLY ALBANY,,,81976,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,SH,2,3542135,A B C SPLY 458 SCHENECTADY,,,505403,458
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,SH,4,3501391,J/NYS CLIFTON SPRINGS TRAVEL PLAZA/,,,137887,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,SH,5,3502176,J/ALBION CORRECTIONAL FACILITY,,,223783,458
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,30,SP,0,1004912,A B C SPLY 458 SCHENECTADY,,,87738,458
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,0,3542135,A B C SPLY 458 SCHENECTADY,,,505403,458
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,2,3120474,ZZVERMONT ROOFING,,,143827,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,3,3087729,ZZQUALITY ROOFING SUPPLY,,,160013,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,4,3088647,J/CANAJOHARIE WATER TREATMENT/QUALI,3088647,,160342,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,5,3105390,J/COLONIAL EXPORT/QUALITY ROOFING,3105390,,167252,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,6,3160619,ZZQUALITY ROOFING SUPPLY/NOTT STREE,,,170908,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,7,3170475,J/ALBANY INTERNATIONAL/QUALITY RFG,,,180034,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,8,3192166,ZZQUALITY ROOFING SPLY/EDISON ST,,,182869,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,9,3201867,J/RPI ATHLETIC VILLAGE/QUALITY,,,176603,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SH,10,3202995,J/ROAD HOUSE 1,,,177988,
1004912,A B C SPLY 458 SCHENECTADY,87738,458,1210,0,70,SP,0,1004912,A B C SPLY 458 SCHENECTADY,,,87738,458
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,20,BP,1,6004275,A B C SPLY BELOIT,,,75986,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,20,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,20,SH,0,1004962,A B C SPLY 240 CHEVERLY,,,87752,240
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,20,SP,0,1004962,A B C SPLY 240 CHEVERLY,,,87752,240
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,30,BP,1,6004275,A B C SPLY BELOIT,,,75986,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,30,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,30,SH,0,3516603,J/GARY RIGNEY,,,317623,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,30,SH,2,3017029,A B C SPLY 240 CHEVERLY,,,78581,240
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,30,SP,0,1004962,A B C SPLY 240 CHEVERLY,,,87752,240
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,BP,1,6004275,A B C SPLY BELOIT,,,75986,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,1,3019122,ZZCOMMERCIAL ROOFING CHEVERLY,,,79246,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,2,3074079,A B C SPLY 082 FREDERICKSBURG,,,82401,82
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,3,1005180,A B C SPLY 029 SPRINGFIELD VA,,,87880,29
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,4,3213019,ZZU/JAMES MYERS CO INC,,,80100,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,5,3214787,J/VIRGINIA DEPARTMENT OF CORRECTION,,,80730,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,6,3220727,J/ROLLING WOOD APARTMENTS/ABC,,,83082,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SH,7,3222467,J/CITIZENS CARE/ABC CHEVERLY,,,83697,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,40,SP,0,1004962,A B C SPLY 240 CHEVERLY,,,87752,240
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,BP,1,6004275,A B C SPLY BELOIT,,,75986,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,0,3019122,ZZCOMMERCIAL ROOFING CHEVERLY,,,79246,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,1,3017029,A B C SPLY 240 CHEVERLY,,,78581,240
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,2,3184747,J/SHAKESPEARE/A B C SPLY,,,191475,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,3,3192992,J/SQUARE 516/A B C SPLY,,,183685,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,4,3210784,J/COMMERICAL ROOFING/ABC SUPPLY 622,,,186278,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,5,3142443,J/PIONEER ROOFING SYSTEMS,,,152814,
